Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
"std::_Tree_comp_alloc<std::_Tmap_traits<Engine::HashedString,Engine::JobSystem::JobQueueData * __ptr64,std::less<Engine::HashedString>,std::allocator<std::pair<Engine::HashedString const ,Engine::JobSystem::JobQueueData * __ptr64> >,0> >::_Buyheadnode",1,0,0,0,0,Game.exe
[d3d11.dll],1,0,0,0,0,d3d11.dll
"std::_Tree_comp_alloc<std::_Tmap_traits<Engine::HashedString,Engine::JobSystem::JobQueueData * __ptr64,std::less<Engine::HashedString>,std::allocator<std::pair<Engine::HashedString const ,Engine::JobSystem::JobQueueData * __ptr64> >,0> >::_Buynode0",1,0,0,0,0,Game.exe
[dxgi.dll],1,0,0,0,0,dxgi.dll
lua_pushvalue,1,0,0,0,0,Game.exe
__scrt_initialize_onexit_tables,1,0,0,0,0,Game.exe
__scrt_release_startup_lock,1,0,0,0,0,Game.exe
luaE_freeCI,1,0,0,0,0,Game.exe
post_pgo_initialization,1,0,0,0,0,Game.exe
"std::_Tree<std::_Tmap_traits<Engine::HashedString,Engine::JobSystem::JobQueueData * __ptr64,std::less<Engine::HashedString>,std::allocator<std::pair<Engine::HashedString const ,Engine::JobSystem::JobQueueData * __ptr64> >,0> >::erase",1,0,0,0,0,Game.exe
freeobj,1,0,0,0,0,Game.exe
freeobj,1,0,0,0,0,Game.exe
"std::_Uninitialized_move_al_unchecked1<Engine::Delegate<unsigned int,bool> * __ptr64,Engine::Delegate<unsigned int,bool> * __ptr64,std::allocator<Engine::Delegate<unsigned int,bool> > >",1,0,0,0,0,Game.exe
"std::_Tree<std::_Tmap_traits<Engine::HashedString,Engine::JobSystem::JobQueueData * __ptr64,std::less<Engine::HashedString>,std::allocator<std::pair<Engine::HashedString const ,Engine::JobSystem::JobQueueData * __ptr64> >,0> >::_Erase",1,0,0,0,0,Game.exe
"std::_Tree<std::_Tmap_traits<Engine::HashedString,Engine::JobSystem::JobQueueData * __ptr64,std::less<Engine::HashedString>,std::allocator<std::pair<Engine::HashedString const ,Engine::JobSystem::JobQueueData * __ptr64> >,0> >::clear",1,0,0,0,0,Game.exe
Engine::Math::MatrixSSE::Transpose,1,0,0,0,0,Game.exe
luaF_close,1,0,0,0,0,Game.exe
_RTC_Initialize,1,0,0,0,0,Game.exe
